timestamp,building_id,temperature,humidity,occupancy,hvac_energy,lighting_energy,equipment_energy,water_consumption,total_energy,day_of_week,is_weekend,anomaly,anomaly_status,actual_anomaly,predicted_anomaly
2026-01-01 00:00:00,B003,20.95,55.83,15,162.59,35.01,71.01,22.18,268.61,3,0,1,Normal,0,0
2026-01-01 01:00:00,B004,21.51,53.47,38,235.55,45.14,53.87,21.43,334.57,3,0,1,Normal,0,0
2026-01-01 02:00:00,B001,19.72,59.81,24,224.34,47.97,48.69,26.13,321.0,3,0,1,Normal,0,0
2026-01-01 03:00:00,B003,19.33,60.44,1,155.68,35.38,28.72,22.41,219.78,3,0,1,Normal,0,0
2026-01-01 04:00:00,B003,22.19,50.37,0,110.58,34.12,43.01,14.17,187.7,3,0,1,Normal,0,0
2026-01-01 05:00:00,B004,21.69,53.37,17,167.33,48.46,60.12,22.54,275.91,3,0,1,Normal,0,0
2026-01-01 06:00:00,B001,27.02,49.0,0,253.85,32.59,51.03,15.23,683.48,3,0,1,Normal,0,0
2026-01-01 07:00:00,B001,25.5,52.3,87,391.97,86.64,94.99,31.06,573.6,3,0,1,Normal,0,0
2026-01-01 08:00:00,B003,25.95,53.77,77,437.03,90.62,74.39,28.84,602.04,3,0,1,Normal,0,0
2026-01-01 09:00:00,B002,27.81,48.74,112,495.19,97.54,114.03,39.23,706.76,3,0,1,Normal,0,0
2026-01-01 10:00:00,B003,26.31,51.08,94,450.27,88.59,99.4,34.45,638.26,3,0,1,Normal,0,0
2026-01-01 11:00:00,B003,27.37,50.3,140,613.26,120.29,127.33,37.14,860.87,3,0,1,Normal,0,0
2026-01-01 12:00:00,B003,30.8,52.22,118,704.41,121.24,90.07,40.34,915.72,3,0,1,Normal,0,0
2026-01-01 13:00:00,B003,27.84,53.29,138,578.04,134.14,122.11,36.4,834.3,3,0,1,Normal,0,0
2026-01-01 14:00:00,B004,26.76,51.45,96,470.08,101.1,86.12,35.39,657.3,3,0,1,Normal,0,0
2026-01-01 15:00:00,B001,28.34,53.36,111,560.36,116.28,101.53,34.21,778.16,3,0,1,Normal,0,0
2026-01-01 16:00:00,B004,28.28,51.22,120,568.64,106.97,115.34,36.9,790.95,3,0,1,Normal,0,0
2026-01-01 17:00:00,B004,26.37,53.0,120,494.57,116.79,110.91,39.51,722.27,3,0,1,Normal,0,0
2026-01-01 18:00:00,B004,25.49,59.27,113,461.79,108.1,97.98,38.51,667.88,3,0,1,Normal,0,0
2026-01-01 19:00:00,B003,21.57,60.24,69,238.49,85.08,84.56,34.36,408.13,3,0,1,Normal,0,0
2026-01-01 20:00:00,B002,19.37,53.42,43,261.65,59.18,56.18,26.2,377.01,3,0,1,Normal,0,0
2026-01-01 21:00:00,B001,22.72,58.13,57,278.55,66.82,90.0,29.47,435.38,3,0,1,Normal,0,0
2026-01-01 22:00:00,B002,19.19,59.84,11,168.64,42.03,53.45,20.34,264.11,3,0,1,Normal,0,0
2026-01-01 23:00:00,B004,18.79,54.16,17,238.57,48.91,69.69,23.1,357.17,3,0,1,Normal,0,0
2026-01-02 00:00:00,B004,20.99,58.96,20,177.13,38.65,54.73,24.32,270.51,4,0,1,Normal,0,0
2026-01-02 01:00:00,B002,20.0,61.61,0,139.92,29.51,44.76,19.71,214.2,4,0,1,Normal,0,0
2026-01-02 02:00:00,B002,20.35,53.46,0,199.79,21.53,42.36,14.59,263.68,4,0,1,Normal,0,0
2026-01-02 03:00:00,B002,23.71,52.39,29,193.0,30.32,73.26,25.34,296.58,4,0,1,Normal,0,0
2026-01-02 04:00:00,B004,20.53,59.79,14,167.05,41.4,49.91,23.19,258.36,4,0,1,Normal,0,0
2026-01-02 05:00:00,B004,24.1,55.77,0,149.74,34.87,56.45,17.96,241.06,4,0,1,Normal,0,0
2026-01-02 06:00:00,B001,24.09,56.61,33,246.61,55.2,62.68,21.1,364.48,4,0,1,Normal,0,0
2026-01-02 07:00:00,B001,25.7,55.17,61,348.79,57.1,60.74,33.58,466.63,4,0,1,Normal,0,0
2026-01-02 08:00:00,B004,28.79,53.78,77,454.83,81.09,82.8,33.02,618.72,4,0,1,Normal,0,0
2026-01-02 09:00:00,B002,28.3,48.87,121,553.3,96.95,98.71,37.46,748.96,4,0,1,Normal,0,0
2026-01-02 10:00:00,B002,29.14,55.57,150,644.63,145.96,125.34,39.09,915.93,4,0,-1,Anomaly,0,1
2026-01-02 11:00:00,B001,30.44,55.29,146,694.61,123.51,111.1,39.43,929.22,4,0,1,Normal,1,0
2026-01-02 12:00:00,B004,28.45,52.09,116,571.69,121.24,117.26,41.31,810.19,4,0,1,Normal,0,0
2026-01-02 13:00:00,B001,27.57,53.08,134,580.23,131.37,116.09,40.51,827.69,4,0,1,Normal,0,0
2026-01-02 14:00:00,B001,26.76,49.03,129,486.1,113.1,112.72,37.7,711.92,4,0,1,Normal,0,0
2026-01-02 15:00:00,B003,24.59,56.25,140,505.11,118.94,126.56,42.53,750.61,4,0,1,Normal,0,0
2026-01-02 16:00:00,B003,29.58,53.92,105,582.77,106.3,112.14,33.31,801.21,4,0,1,Normal,0,0
2026-01-02 17:00:00,B003,23.64,54.99,130,470.61,114.25,114.8,44.0,699.66,4,0,1,Normal,0,0
2026-01-02 18:00:00,B002,23.67,58.54,135,458.1,125.32,109.79,44.31,693.21,4,0,1,Normal,0,0
2026-01-02 19:00:00,B004,22.29,54.85,33,250.13,49.24,48.76,23.55,348.13,4,0,1,Normal,0,0
2026-01-02 20:00:00,B004,21.96,57.71,42,254.06,45.15,64.14,24.41,363.35,4,0,1,Normal,0,0
2026-01-02 21:00:00,B004,21.69,53.1,29,247.46,32.46,58.33,16.5,338.24,4,0,1,Normal,0,0
2026-01-02 22:00:00,B004,20.96,56.45,5,174.06,35.31,53.57,16.31,262.94,4,0,1,Normal,0,0
2026-01-02 23:00:00,B003,18.3,57.33,20,191.55,39.51,56.55,18.98,287.61,4,0,1,Normal,0,0
2026-01-03 00:00:00,B002,18.75,58.3,42,299.21,54.98,77.88,26.71,432.07,5,1,1,Normal,0,0
2026-01-03 01:00:00,B002,19.59,56.09,21,218.43,50.27,54.37,22.17,323.06,5,1,1,Normal,0,0
2026-01-03 02:00:00,B003,19.3,56.96,44,261.14,70.19,71.43,22.56,402.76,5,1,1,Normal,0,0
2026-01-03 03:00:00,B002,22.88,58.04,0,118.09,27.82,61.84,19.16,207.75,5,1,1,Normal,0,0
2026-01-03 04:00:00,B003,22.24,54.57,0,117.79,27.28,53.42,21.52,198.49,5,1,1,Normal,0,0
2026-01-03 05:00:00,B004,23.81,50.28,19,199.12,47.3,58.9,24.43,305.32,5,1,1,Normal,0,0
2026-01-03 06:00:00,B003,24.99,59.75,25,243.44,36.64,56.48,18.05,336.56,5,1,1,Normal,0,0
2026-01-03 07:00:00,B004,27.05,57.62,19,283.35,45.09,53.17,22.47,381.6,5,1,1,Normal,0,0
2026-01-03 08:00:00,B004,26.77,49.74,0,250.53,34.42,41.49,15.85,326.44,5,1,1,Normal,0,0
2026-01-03 09:00:00,B001,25.59,56.27,18,284.98,48.04,53.59,25.41,386.61,5,1,1,Normal,0,0
2026-01-03 10:00:00,B003,28.93,51.03,0,339.92,14.51,57.56,22.35,411.99,5,1,1,Normal,0,0
2026-01-03 11:00:00,B001,27.85,53.86,30,322.32,44.91,62.78,21.81,430.01,5,1,1,Normal,0,0
2026-01-03 12:00:00,B003,28.21,53.78,25,349.46,40.47,49.0,21.45,438.94,5,1,1,Normal,0,0
2026-01-03 13:00:00,B003,29.71,51.44,5,340.7,34.3,70.18,19.37,445.18,5,1,1,Normal,0,0
2026-01-03 14:00:00,B001,30.19,49.55,12,383.27,42.25,59.2,15.04,484.72,5,1,1,Normal,0,0
2026-01-03 15:00:00,B001,27.57,51.14,4,273.32,44.77,37.93,21.61,356.02,5,1,1,Normal,0,0
2026-01-03 16:00:00,B003,26.96,50.77,19,283.57,39.34,55.08,22.03,377.99,5,1,1,Normal,0,0
2026-01-03 17:00:00,B002,27.85,50.58,34,328.08,49.82,68.11,28.01,446.01,5,1,1,Normal,0,0
2026-01-03 18:00:00,B004,24.36,54.62,5,170.45,42.7,69.55,17.45,282.69,5,1,1,Normal,0,0
2026-01-03 19:00:00,B001,26.61,51.55,27,286.68,51.27,52.42,22.19,390.37,5,1,1,Normal,0,0
2026-01-03 20:00:00,B004,22.35,57.87,12,103.16,48.54,65.76,17.28,217.47,5,1,1,Normal,0,0
2026-01-03 21:00:00,B002,17.82,62.55,8,218.92,37.91,67.99,18.19,821.9,5,1,-1,Anomaly,0,1
2026-01-03 22:00:00,B002,20.8,54.86,18,216.82,33.34,52.71,19.15,302.88,5,1,1,Normal,0,0
2026-01-03 23:00:00,B002,19.74,57.85,4,149.39,22.13,49.22,23.59,220.75,5,1,1,Normal,0,0
2026-01-04 00:00:00,B001,20.93,58.03,11,174.67,25.29,45.14,19.56,245.1,6,1,1,Normal,0,0
2026-01-04 01:00:00,B002,20.18,58.33,2,125.11,36.7,48.97,20.67,210.77,6,1,1,Normal,0,0
2026-01-04 02:00:00,B001,19.46,57.5,49,300.19,73.81,74.13,26.21,448.14,6,1,1,Normal,0,0
2026-01-04 03:00:00,B002,18.63,59.91,20,241.43,58.79,66.6,19.19,366.82,6,1,1,Normal,0,0
