timestamp,building_id,temperature,humidity,occupancy,hvac_energy,lighting_energy,equipment_energy,water_consumption,total_energy,day_of_week,is_weekend,anomaly,anomaly_status
2026-01-02 10:00:00,B002,29.14,55.57,150,644.63,145.96,125.34,39.09,915.93,4,0,-1,Anomaly
2026-01-03 21:00:00,B002,17.82,62.55,8,218.92,37.91,67.99,18.19,821.9,5,1,-1,Anomaly
2026-01-05 09:00:00,B002,31.37,49.24,142,715.11,121.74,131.22,38.58,968.07,0,0,-1,Anomaly
2026-01-05 12:00:00,B002,31.31,47.57,142,731.15,136.25,125.31,38.22,992.71,0,0,-1,Anomaly
2026-01-05 13:00:00,B003,31.84,53.52,128,754.34,133.02,101.24,40.34,988.6,0,0,-1,Anomaly
2026-01-07 11:00:00,B002,31.49,47.48,103,674.96,117.66,118.2,27.43,910.82,2,0,-1,Anomaly
2026-01-07 12:00:00,B003,31.49,50.6,127,713.6,104.33,125.74,33.8,943.67,2,0,-1,Anomaly
2026-01-07 17:00:00,B001,25.75,52.43,116,503.0,110.74,112.69,34.95,2063.15,2,0,-1,Anomaly
2026-01-09 14:00:00,B004,28.98,52.38,127,661.46,123.27,105.96,43.46,1749.59,4,0,-1,Anomaly
2026-01-10 13:00:00,B001,33.62,52.2,21,551.24,42.22,34.96,23.14,628.43,5,1,-1,Anomaly
2026-01-11 12:00:00,B004,32.09,47.86,0,430.19,13.86,46.6,18.81,490.65,6,1,-1,Anomaly
2026-01-13 19:00:00,B002,20.69,56.25,69,328.23,82.52,74.03,31.75,1320.53,1,0,-1,Anomaly
2026-01-14 09:00:00,B001,30.39,51.88,146,728.49,128.33,125.99,42.0,982.81,2,0,-1,Anomaly
2026-01-14 11:00:00,B002,27.37,58.01,145,587.86,131.19,141.49,40.88,860.54,2,0,-1,Anomaly
2026-01-16 09:00:00,B003,29.6,50.85,159,646.44,143.66,119.08,36.7,909.17,4,0,-1,Anomaly
2026-01-16 16:00:00,B004,26.61,56.38,158,568.73,145.98,119.19,44.59,833.9,4,0,-1,Anomaly
2026-01-19 10:00:00,B001,28.18,55.76,113,574.53,116.49,108.11,36.43,2035.99,0,0,-1,Anomaly
2026-01-19 18:00:00,B002,22.28,61.57,143,495.54,126.35,102.45,44.23,724.35,0,0,-1,Anomaly
2026-01-20 14:00:00,B001,30.42,49.64,107,575.16,111.87,81.26,36.5,2030.87,1,0,-1,Anomaly
2026-01-21 14:00:00,B001,29.78,45.4,157,705.15,147.85,104.46,44.11,957.47,2,0,-1,Anomaly
2026-01-22 07:00:00,B002,27.69,58.33,62,433.39,64.44,91.82,25.92,1381.72,3,0,-1,Anomaly
2026-01-23 10:00:00,B001,31.44,51.55,137,705.28,129.48,100.98,34.45,935.73,4,0,-1,Anomaly
2026-01-27 14:00:00,B002,23.8,49.49,145,452.03,149.72,119.32,45.16,721.07,1,0,-1,Anomaly
2026-01-28 18:00:00,B002,23.01,54.63,127,440.91,121.63,109.87,42.2,1623.49,2,0,-1,Anomaly
2026-02-01 10:00:00,B002,28.58,55.25,15,358.68,35.91,52.66,12.59,1002.42,6,1,-1,Anomaly
2026-02-02 10:00:00,B004,30.7,48.19,135,670.71,130.86,133.29,38.02,934.86,0,0,-1,Anomaly
2026-02-02 11:00:00,B003,27.31,48.09,156,628.79,146.99,121.88,43.05,897.66,0,0,-1,Anomaly
2026-02-05 09:00:00,B002,28.63,53.25,144,599.42,147.35,131.69,45.46,878.46,3,0,-1,Anomaly
2026-02-05 10:00:00,B003,28.35,55.85,145,657.18,120.32,116.19,40.98,1733.68,3,0,-1,Anomaly
2026-02-09 09:00:00,B003,27.43,48.65,138,544.74,124.56,105.42,42.87,1418.16,0,0,-1,Anomaly
