hour,total_energy
0,293.99095238095236
1,282.45666666666665
2,307.1064285714286
3,288.8745238095238
4,278.65976190476187
5,295.74880952380954
6,315.39595238095234
7,499.31
8,470.82690476190476
9,686.1480952380953
10,767.7366666666667
11,715.0228571428571
12,722.8330952380953
13,713.7283333333334
14,747.7616666666667
15,688.7602380952382
16,614.7068292682927
17,629.7878048780487
18,605.4143902439024
19,413.11121951219513
20,414.63073170731707
21,418.2178048780488
22,294.8439024390244
23,266.0824390243902
